week,trades,blocked_sales,lemon_sales,good_sales,lemon_share,avg_price,avg_quality,avg_buyer_surplus,avg_seller_revenue,inspected_sales
1,193,4,124,69,0.6424870466321243,101.19599919582227,0.47409235585200593,53.85155660580486,100.88546296576723,25
2,206,4,126,80,0.6116504854368932,104.17158224473462,0.4955394235505073,66.75149099764009,103.67428278866879,40
3,203,6,129,74,0.6354679802955665,101.26737252016228,0.47435302166327875,59.90796524334361,100.9407313098736,27
4,210,5,133,77,0.6333333333333333,101.57582531027069,0.4805226800864901,59.213016726504016,101.27127612159744,30
5,207,6,130,77,0.6280193236714976,101.7511062334599,0.47329989695109714,49.41295791536723,101.50425569098344,20
6,203,5,130,73,0.6403940886699507,98.09105183374064,0.4538307284635318,58.509579852671635,97.77465690082292,28
7,216,3,120,96,0.5555555555555556,105.04370533766172,0.5153830214412073,59.372055169286014,104.64471975083053,26
8,206,2,127,79,0.616504854368932,103.29902195354441,0.49696537685698655,55.75255606070296,103.00103116005556,21
9,206,3,130,76,0.6310679611650486,102.62092824879755,0.4858129037446717,66.15430673741778,102.17314037002228,30
10,202,2,129,73,0.6386138613861386,101.92100384863309,0.47958323779547246,59.07965745606631,101.56754005472699,27
11,199,4,119,80,0.5979899497487438,101.00335878955445,0.4836771096681594,53.06277699980319,100.68871678697559,30
12,205,7,137,68,0.6682926829268293,99.84301616183888,0.4547107530387185,51.439946677708605,99.44098554752684,29
13,220,2,146,74,0.6636363636363637,99.44776531284239,0.46108453531445387,57.629119906011894,99.08131175118996,29
14,200,2,126,74,0.63,100.51008375212251,0.4720799929080169,58.5383862965468,100.26572512551702,20
15,212,2,128,84,0.6037735849056604,102.01923691729579,0.48703541664124733,59.43960790672946,101.55274869156628,34
16,214,2,122,92,0.5700934579439252,105.84447495671634,0.5163734579997356,64.5577320437613,105.57216892709046,22
17,196,5,128,68,0.6530612244897959,99.5092789904756,0.4622976135128847,53.74109346871491,99.25561002427749,22
18,204,1,127,77,0.6225490196078431,102.26492486676466,0.48569700600632687,60.36719366627792,101.71725786526044,38
19,207,3,136,71,0.6570048309178744,100.71109406351803,0.46609200079878293,59.84866460314678,100.48070176741213,19
20,199,2,113,86,0.5678391959798995,104.52125957965963,0.506821139511239,61.02878400793719,104.27351207160915,26
21,214,5,118,96,0.5514018691588785,104.24006479934499,0.5099158713265836,55.71759259357083,104.05711761960748,22
22,208,2,131,77,0.6298076923076923,103.17490199492354,0.48572379416143197,56.02949139531435,102.91485278754735,27
23,213,7,136,77,0.6384976525821596,99.18588818647447,0.4647203386224626,60.00183494223275,98.84289299417246,31
24,200,2,115,85,0.575,103.60356561156517,0.500345533364558,57.35943363120974,103.25644831089204,32
25,196,4,119,77,0.6071428571428571,103.8015796971078,0.4969211191591805,57.88696958079018,103.53613674795648,22
26,205,2,110,95,0.5365853658536586,106.09738954438652,0.5264985523295198,58.49729018067592,105.70236621934937,32
27,208,2,131,77,0.6298076923076923,102.67599373076658,0.4812094495083998,58.553478109876885,102.26587740308494,33
28,205,3,132,73,0.6439024390243903,101.47188975547847,0.47244806993505195,62.46414515561603,101.04774274721248,28
29,210,2,134,76,0.638095238095238,101.13027860876852,0.4784826943869439,61.218144323186515,100.79376213332321,24
30,204,1,126,78,0.6176470588235294,102.26822434520378,0.4776874174558338,57.83725094929092,101.96101381041201,25
31,205,3,134,71,0.6536585365853659,102.24827299084332,0.4774340749995073,55.308391109565214,101.90487915142522,27
32,212,3,137,75,0.6462264150943396,100.07770193736638,0.4670908365501948,59.94745238700392,99.68318786088,30
33,195,7,128,67,0.6564102564102564,100.20491390698518,0.462055332114178,66.75156097562643,99.9099764525733,22
34,202,7,118,84,0.5841584158415841,103.1327767178343,0.49121503356846274,62.131390319094066,102.78130136687065,25
35,210,4,134,76,0.638095238095238,103.43679145849237,0.4846406861896185,58.12711754189588,103.07937090239443,24
36,205,1,130,75,0.6341463414634146,102.39162435487971,0.4889190929187125,59.50147993771908,102.02188769714,22
37,198,3,126,72,0.6363636363636364,100.12593629593152,0.4676731843353422,61.85052804263507,99.92071949248448,17
38,206,2,128,78,0.6213592233009708,100.3071088217086,0.47210785273917616,53.346548576476245,99.96490017176903,23
39,215,3,141,74,0.6558139534883721,96.9789549712642,0.442099134113477,57.257814760578945,96.6203547643969,31
40,212,2,133,79,0.6273584905660378,101.39469158924359,0.4769169051353171,60.53985312588262,101.02909768218008,33
41,203,6,120,83,0.5911330049261084,102.23697401757326,0.489357525251679,62.35434640339404,101.90950402432426,25
42,208,6,134,74,0.6442307692307693,101.17851111237479,0.4722422143018813,58.4206311772285,100.86175764066698,28
43,207,2,118,89,0.5700483091787439,105.41231351804714,0.5135269211663663,70.17088118570486,105.08711525298864,23
44,215,3,139,76,0.6465116279069767,99.68510595010807,0.46587326392150785,60.35178134313231,99.3853929200994,35
45,209,1,139,70,0.6650717703349283,98.35113519665957,0.45289931681366447,59.14407071958939,98.04036469122609,27
46,204,3,127,77,0.6225490196078431,100.4321264991388,0.47230236884176,62.69713991108133,100.21282770563167,17
47,211,3,127,84,0.6018957345971564,101.2825666183478,0.48634976211189895,62.44729985801588,101.05458466412843,21
48,211,2,133,78,0.6303317535545023,99.96153851039735,0.4695236027619359,57.815606864885304,99.69294716955346,27
49,207,3,123,84,0.5942028985507246,103.28604346017966,0.4980276899037903,53.061998922043735,103.0204750797217,26
50,208,2,134,74,0.6442307692307693,103.18036599355999,0.4850929185982202,55.30434286673811,102.73915961179847,33
51,207,1,132,75,0.6376811594202898,99.62778568361512,0.46245416683210117,57.827564621509595,99.29259686528825,31
52,207,6,140,67,0.6763285024154589,98.03713867166941,0.4507014565916466,50.38079122010567,97.66455470904339,25
